"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Successful login","ERROR","2023-09-20T09:44:26.1609842-05:00[America/Bogota]","0.0","22.75"
"Login","Invalid login","ERROR","2023-09-20T09:44:49.2384502-05:00[America/Bogota]","0.0","1.43"
"Login","login with empty fields","ERROR","2023-09-20T09:44:50.691396-05:00[America/Bogota]","0.0","1.39"
"purchase flow processes","Something","ERROR","2023-09-20T10:01:12.4928807-05:00[America/Bogota]","0.0","13.87"
"purchase flow processes","buy many products","FAILURE","2023-09-20T20:59:43.9168542-05:00[America/Bogota]","0.0","75.09"
"Register","Register Empty","ERROR","2023-09-19T16:28:26.275858-05:00[America/Bogota]","0.0","45.41"
